Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
1.92,-0.01,0.0,0.0,1.15,0.0
1.83,-0.01,0.0,0.0,1.31,0.0
1.83,0.01,0.0,0.0,1.31,0.0
1.83,-0.03,0.0,0.0,1.31,0.0
1.83,0.01,0.0,0.0,1.48,0.0
1.83,-0.02,0.0,0.0,1.64,0.0
1.83,0.0,0.0,0.0,1.64,0.0
1.83,0.0,0.0,0.0,1.64,0.0
1.83,0.01,0.0,0.0,1.64,0.0
1.83,0.01,1.64,0.0,1.64,0.0
1.8,-0.01,1.64,0.0,1.64,0.0
1.8,0.0,1.64,0.0,1.64,0.0
1.8,0.0,1.64,0.0,1.64,0.0
1.8,-0.01,1.64,0.0,1.64,0.0
1.8,0.01,1.64,0.0,1.64,0.0
1.8,0.0,1.64,0.0,1.64,0.0
1.8,0.02,0.82,0.0,1.64,0.0
1.88,0.0,0.82,0.0,1.64,0.0
1.88,0.02,0.82,0.0,1.64,0.0
1.88,0.0,0.82,0.0,1.64,0.0
1.88,0.0,0.82,0.0,1.64,0.0
1.88,-0.01,0.82,0.0,1.64,0.0
1.88,-0.03,0.82,0.0,1.64,0.0
1.88,0.0,0.82,0.0,1.64,0.0
1.88,-0.01,0.82,0.0,1.64,0.0
1.88,0.02,0.82,0.0,1.64,0.0
1.88,0.0,0.55,0.0,1.64,0.0
1.92,0.0,0.55,0.0,1.64,0.0
1.92,-0.01,0.55,0.0,1.64,0.0
1.92,-0.02,0.55,0.0,1.64,0.0
1.92,0.0,0.55,0.0,1.64,0.0
1.92,0.01,0.55,0.0,1.64,0.0
1.92,-0.02,0.55,0.0,1.64,0.0
1.92,-0.01,0.55,0.0,1.64,0.0
1.92,-0.01,0.55,0.0,1.64,0.0
1.92,0.0,0.41,0.0,1.64,0.0
1.84,0.02,0.41,0.0,1.64,0.0
1.84,0.0,0.41,0.0,1.64,0.0
1.84,0.0,0.41,0.0,1.64,0.0
1.84,-0.02,0.41,0.0,1.64,0.0
1.84,-0.02,0.41,0.0,1.64,0.0
1.84,-0.02,0.41,0.0,1.64,0.0
1.84,-0.02,0.41,0.0,1.64,0.0
1.84,-0.01,0.41,0.0,1.64,0.0
1.84,0.01,0.33,1.69,1.64,0.03
1.81,0.03,0.33,1.11,1.64,0.08
1.81,0.0,0.36,1.65,1.8,0.05
1.81,0.01,0.36,1.64,1.8,0.06
1.81,-0.03,0.36,2.3,1.8,0.01
1.81,-0.01,0.36,2.16,1.8,0.01
1.81,-0.01,0.36,1.93,1.8,11.3
1.81,0.0,0.39,3.1,1.97,40.23
1.81,0.0,0.46,3.35,2.3,40.23
1.81,-0.01,0.44,3.11,2.62,40.23
0.6,0.0,0.49,3.03,2.95,40.23
0.6,0.0,0.63,209.36,3.77,31.41
0.6,0.02,0.82,259.53,4.92,20.98
0.6,0.0,0.93,256.73,5.57,18.36
0.6,0.0,0.98,267.79,5.9,17.27
0.6,-0.01,1.07,278.31,6.39,17.01
0.6,0.0,1.23,293.31,7.38,16.61
0.6,0.0,1.37,290.89,8.2,16.87
0.6,1.7,1.33,295.14,9.34,16.36
0.28,3.24,1.48,295.23,10.33,16.86
0.28,3.83,1.62,293.46,11.31,17.07
0.28,4.59,1.8,298.48,12.62,17.13
0.28,5.22,1.94,301.88,13.61,16.88
0.28,5.9,2.11,285.35,14.75,17.0
0.28,6.56,2.32,294.81,16.23,16.89
0.28,7.18,2.48,299.6,17.38,17.08
0.28,7.97,2.69,288.96,18.85,17.54
0.28,8.61,2.79,275.86,19.51,17.13
0.13,9.34,2.56,282.18,20.49,17.6
0.13,9.97,2.68,301.35,21.48,16.64
0.13,10.74,2.85,294.14,22.79,17.23
0.13,11.4,2.91,260.39,23.28,16.98
0.13,12.1,3.07,279.8,24.59,17.43
0.13,12.75,3.2,290.81,25.57,17.51
0.13,13.43,3.3,281.55,26.39,17.12
0.13,14.09,3.46,286.23,27.7,17.38
0.13,14.63,3.59,293.25,28.69,16.67
0.1,15.19,3.32,292.3,29.84,17.47
0.1,15.61,3.41,296.45,30.66,16.98
0.1,16.03,3.55,285.13,31.97,16.92
0.1,16.33,3.61,272.44,32.46,17.81
0.1,16.65,3.7,274.19,33.28,17.73
0.1,16.93,3.81,271.24,34.26,17.94
0.1,17.16,3.93,271.43,35.41,18.09
0.1,17.34,4.08,274.74,36.72,17.4
0.17,17.53,3.79,283.13,37.87,17.14
0.17,17.63,3.87,288.33,38.69,17.78
0.17,17.67,3.97,280.25,39.67,17.52
0.17,17.69,4.11,286.66,41.15,17.62
0.17,17.66,4.13,292.5,41.31,17.51
0.17,17.63,4.2,285.66,41.97,17.26
0.17,17.57,4.25,272.28,42.46,17.64
0.17,17.5,4.36,285.7,43.61,17.81
0.17,17.45,4.02,277.14,44.26,17.82
0.21,17.35,4.13,276.39,45.41,18.45
0.21,17.22,4.22,279.25,46.39,17.7
0.21,17.12,4.26,280.38,46.89,18.19
0.21,16.95,4.37,262.46,48.03,17.45
0.21,16.79,4.44,273.26,48.85,18.03
0.21,16.62,4.53,277.6,49.84,18.48
0.21,16.41,4.62,281.11,50.82,17.36
0.21,16.19,4.65,282.16,51.15,17.34
0.21,16.01,4.3,273.1,51.64,17.1
0.13,15.81,4.4,281.86,52.79,17.25
0.13,15.59,4.47,279.78,53.61,17.52
0.13,15.33,4.58,290.4,54.92,17.89
0.13,15.08,4.63,270.9,55.57,17.68
0.13,14.87,4.7,293.84,56.39,17.28
0.13,14.62,4.77,272.38,57.21,17.57
0.13,14.42,4.86,284.63,58.36,17.65
0.13,14.24,4.92,279.95,59.02,18.18
0.13,14.05,4.59,277.75,59.67,16.95
0.11,13.87,4.64,252.15,60.33,18.5
0.11,13.72,4.73,261.29,61.48,18.01
0.11,13.49,4.79,262.06,62.3,17.59
0.11,13.34,4.87,265.21,63.28,17.42
0.11,13.19,4.93,256.38,64.1,17.78
0.11,13.01,5.02,264.94,65.25,18.07
0.11,12.83,5.11,266.14,66.39,18.47
0.11,12.7,5.15,258.61,66.89,17.43
0.11,12.6,4.84,262.86,67.7,18.49
0.17,12.42,4.92,265.89,68.85,18.4
0.17,12.31,4.96,272.63,69.51,18.35
0.17,12.18,5.02,261.59,70.33,18.0
0.17,12.07,5.08,269.01,71.15,18.73
0.17,11.98,5.15,257.28,72.13,17.91
0.17,11.89,5.21,261.06,72.95,17.91
0.17,11.79,5.27,272.39,73.77,18.22
0.17,11.7,5.33,267.21,74.59,17.08
0.17,11.66,5.02,272.35,75.25,17.29
0.2,11.57,5.09,286.84,76.39,17.97
0.2,11.49,5.14,273.56,77.05,18.34
0.2,11.38,5.19,279.93,77.87,18.18
0.2,11.34,5.23,288.89,78.52,17.79
0.2,11.29,5.3,276.03,79.51,17.57
0.2,11.22,5.38,278.08,80.66,17.69
0.2,11.22,5.43,278.61,81.48,17.97
0.2,11.17,5.49,275.38,82.3,17.78
0.2,11.11,5.22,267.93,83.44,18.18
0.14,11.05,5.27,282.1,84.26,17.89
0.14,11.01,5.32,277.84,85.08,18.63
0.14,10.99,5.36,273.44,85.74,17.84
0.14,10.93,5.43,281.66,86.89,18.02
0.14,10.9,5.48,276.98,87.7,17.89
0.14,10.87,5.52,275.8,88.36,17.04
0.14,10.87,5.59,287.29,89.51,18.85
0.14,10.83,5.67,285.9,90.66,18.1
0.14,10.84,5.37,278.86,91.31,17.75
0.1,10.8,5.43,284.85,92.3,17.47
0.1,10.81,5.5,285.66,93.44,17.89
0.1,10.78,5.54,287.59,94.26,17.82
0.1,10.77,5.57,270.9,94.75,17.9
0.1,10.76,5.6,271.39,95.25,18.12
0.1,10.72,5.65,281.79,96.07,18.47
0.1,10.73,5.7,271.49,96.89,17.65
0.1,10.73,5.73,272.94,97.38,18.73
0.1,10.77,5.47,293.49,98.52,17.74
0.17,10.74,5.51,278.9,99.18,17.67
0.17,10.72,5.54,276.38,99.67,17.21
0.17,10.74,5.59,272.31,100.66,17.38
0.17,10.72,5.63,279.99,101.31,18.02
0.17,10.71,5.66,272.36,101.97,17.81
0.17,10.72,5.73,289.71,103.11,18.02
0.17,10.73,5.77,268.14,103.77,17.65
0.17,10.74,5.83,275.74,104.92,18.15
0.17,10.74,5.56,263.25,105.57,17.24
0.2,10.73,5.59,273.78,106.23,18.43
0.2,10.72,5.64,270.56,107.21,17.71
0.2,10.72,5.69,287.01,108.2,18.78
0.2,10.76,5.74,272.35,109.02,18.07
0.2,10.74,5.79,270.83,110.0,18.61
0.2,10.76,5.87,274.65,111.48,17.6
0.2,10.77,5.93,299.88,112.62,18.56
0.2,10.78,5.96,247.98,113.28,17.96
0.2,10.78,5.7,248.2,114.1,17.96
0.13,10.8,5.74,273.71,114.75,17.65
0.13,10.83,5.77,267.58,115.41,18.14
0.13,10.87,5.85,277.94,117.05,17.38
0.13,10.86,5.88,268.96,117.54,18.18
0.13,10.85,5.93,270.33,118.52,17.72
0.13,10.9,5.97,257.83,119.34,18.36
0.13,10.91,6.02,255.2,120.33,18.48
0.13,10.9,5.77,262.66,121.15,17.86
0.1,10.91,5.82,267.73,122.13,18.32
0.1,10.92,5.85,264.53,122.95,18.42
0.1,10.94,5.89,276.41,123.77,18.13
0.1,10.95,5.93,271.6,124.59,17.46
0.1,10.96,5.96,274.06,125.25,17.74
0.1,11.0,6.0,268.31,125.9,18.18
0.1,11.0,6.03,274.79,126.72,17.98
0.1,11.01,6.06,268.81,127.21,18.35
0.1,11.02,5.83,278.96,128.36,18.49
0.16,10.99,5.86,264.83,128.85,17.69
0.16,11.03,5.86,269.14,129.02,17.5
0.16,11.04,5.9,274.93,129.84,17.4
0.16,11.08,5.94,275.43,130.66,18.24
0.16,11.08,5.98,268.18,131.64,18.68
0.16,11.11,6.01,266.69,132.3,17.39
0.16,11.14,6.05,256.64,133.11,18.29
0.16,11.18,6.08,260.71,133.77,17.8
0.16,11.18,5.84,259.05,134.43,17.09
0.2,11.21,5.87,262.45,135.08,17.53
0.2,11.18,5.89,253.58,135.57,17.7
0.2,11.21,5.93,259.55,136.39,17.86
0.2,11.24,5.95,254.86,136.89,18.05
0.2,11.24,5.97,259.61,137.21,17.62
0.2,11.28,5.97,260.9,137.38,17.5
0.2,11.25,5.99,259.44,137.7,17.87
0.2,11.27,5.99,257.29,137.87,17.84
0.2,11.31,6.04,263.69,138.85,17.92
0.2,11.31,5.82,253.03,139.67,17.47
0.15,11.31,5.85,262.36,140.49,17.52
0.15,11.32,5.86,257.7,140.66,17.77
0.15,11.33,5.87,258.94,140.98,17.93
0.15,11.36,5.89,266.96,141.31,17.41
0.15,11.39,5.92,278.33,141.97,17.86
0.15,11.4,5.92,268.91,142.13,18.0
0.15,11.43,5.95,266.18,142.79,18.0
0.15,11.42,6.0,277.63,143.93,18.58
0.15,11.43,5.79,269.18,144.75,18.26
0.09,11.43,5.82,274.85,145.41,17.35
0.09,11.45,5.84,270.15,146.07,18.2
0.09,11.42,5.9,273.64,147.38,18.27
0.09,11.46,5.93,269.28,148.2,17.9
0.09,11.48,5.93,271.39,148.36,17.3
0.09,11.52,5.97,258.46,149.18,17.45
0.09,11.53,5.99,257.23,149.67,17.77
0.09,11.53,6.03,265.08,150.66,18.66
0.09,11.56,5.8,248.93,150.82,18.0
0.14,11.55,5.81,260.66,151.15,17.8
0.14,11.6,5.84,257.35,151.8,17.81
0.14,11.57,5.86,268.91,152.46,18.12
0.14,11.57,5.88,265.0,152.95,17.99
0.14,11.58,5.89,268.66,153.11,17.38
0.14,11.64,5.9,271.48,153.44,18.1
0.14,11.63,5.93,278.96,154.1,17.38
0.14,11.66,5.95,271.64,154.75,18.16
0.14,11.66,5.76,268.84,155.41,18.2
0.2,11.66,5.77,276.71,155.9,17.22
0.2,11.66,5.81,277.35,156.89,18.23
0.2,11.69,5.85,282.29,157.87,17.54
0.2,11.71,5.89,278.34,159.02,18.44
0.2,11.71,5.91,250.36,159.51,17.97
0.2,11.75,5.93,258.1,160.16,17.74
0.2,11.74,5.96,263.4,160.98,17.69
0.2,11.81,5.97,259.29,161.15,17.63
0.2,11.82,5.77,261.05,161.64,17.13
